"Timestamp","State","City","Items in stock currently:"
"03/28/20 17:57","CA","Pacoima","Toilet Paper, Disinfecting Wipes"
"03/28/20 17:56","CA","Hickey","Toilet Paper"
"03/28/20 17:51","WA","Puyallup","Toilet Paper, Lysol"
"03/28/20 17:50","CA","Livermore","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 17:46","OR","Bend","Toilet Paper"
"03/28/20 17:40","CA","Moreno Valley","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 17:35","WI","Middleton","Disinfecting Wipes, Lysol"
"03/28/20 17:35","NH","Nashua","Toilet Paper, Rice"
"03/28/20 17:35","CA","Sacramento","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Lysol"
"03/28/20 17:32","CA","Lodi","Toilet Paper"
"03/28/20 17:31","VA","Arlington","Toilet Paper, Disinfecting Wipes"
"03/28/20 17:29","CA","Huntington Beach","Toilet Paper, Paper Towels, Water"
"03/28/20 17:27","CA","Eastvalle","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 17:24","VA","Leesburg","Toilet Paper"
"03/28/20 17:24","FL","Delray Beach","Toilet Paper, Paper Towels, Disinfecting Wipes, Water"
"03/28/20 17:23","OR","Salem","Toilet Paper"
"03/28/20 17:18","UT","Salt Lake City","Toilet Paper"
"03/28/20 17:18","CA","Lake Elsinore","Toilet Paper"
"03/28/20 17:17","CA","Los Gatos","Toilet Paper, Paper Towels"
"03/28/20 17:17","VA","Manassas","Toilet Paper"
"03/28/20 17:16","MD","Gaithersburg","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 17:15","UT","South Jordan","Toilet Paper, Disinfecting Wipes, Water"
"03/28/20 17:13","CA","Lake Elsinore","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 17:09","ID","Coeur d'Alene","Toilet Paper, Paper Towels"
"03/28/20 17:05","NC","Apex","Toilet Paper, Paper Towels"
"03/28/20 17:01","CA","Tustin","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 17:00","CA","Chula Vista","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 16:57","CA","Coronado","Toilet Paper, Disinfecting Wipes"
"03/28/20 16:57","CA","Santa Clara","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 16:55","AZ","Avondale","None Available"
"03/28/20 16:55","CA","Los Angeles","Disinfecting Wipes, Lysol"
"03/28/20 16:48","MI","Northville","Toilet Paper, Disinfecting Wipes, Rice"
"03/28/20 16:47","NM","Albuquerque","Toilet Paper, Paper Towels"
"03/28/20 16:46","CA","Laguna Niguel","Toilet Paper"
"03/28/20 16:46","AZ","Chandler","Toilet Paper"
"03/28/20 16:45","CA","Torrance","Water"
"03/28/20 16:44","AZ","Hayden","Toilet Paper"
"03/28/20 16:42","CA","Fullerton","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 16:39","WA","Woodenville","Toilet Paper, Paper Towels"
"03/28/20 16:38","NY","Camillus","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 16:37","NY","Camillus","Toilet Paper, Water, Lysol"
"03/28/20 16:37","AZ","Avondale","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 16:37","AZ","Mesa","Toilet Paper, Disinfecting Wipes"
"03/28/20 16:35","NY","Yonkers","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 16:34","CA","Tustin - Marketplace","Paper Towels, Disinfecting Wipes"
"03/28/20 16:34","CA","San Diego - Morena","None Available"
"03/28/20 16:30","CO","Arvada","Toilet Paper, Paper Towels"
"03/28/20 16:30","CA","Castro Valley","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 16:29","AZ","Scottsdale","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 16:29","TX","Alliance","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 16:29","CA","Salinas","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice"
"03/28/20 16:28","IL","Gurnee","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Lysol"
"03/28/20 16:27","CA","Lakewood","Toilet Paper, Rice, Lysol"
"03/28/20 16:27","TX","Fort Worth","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 16:26","CA","Salinas","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice"
"03/28/20 16:26","CA","Signal Hill","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice"
"03/28/20 16:25","WA","Covington","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 16:25","CA","Culver City","Toilet Paper"
"03/28/20 16:23","WA","Vancouver","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 16:18","OR","Albany","Toilet Paper, Disinfecting Wipes"
"03/28/20 16:15","CA","Fremont","Toilet Paper, Paper Towels, Water, Rice"
"03/28/20 16:14","CA","Moreno Valley","Toilet Paper, Paper Towels"
"03/28/20 16:13","CA","Fremont","Toilet Paper, Paper Towels, Water, Rice"
"03/28/20 16:10","MN","Coon Rapids","Toilet Paper, Paper Towels"
"03/28/20 16:10","AZ","Tempe","Toilet Paper, Disinfecting Wipes, Lysol, None Available"
"03/28/20 16:09","HI","Waipio","None Available"
"03/28/20 16:06","AZ","Gilbert","Toilet Paper"
"03/28/20 16:06","GA","Dunwoody","Toilet Paper, Disinfecting Wipes"
"03/28/20 16:06","VA","Norfolk","Toilet Paper"
"03/28/20 16:04","PA","Robinson Twp.","Toilet Paper"
"03/28/20 16:04","VA","Norfolk","Toilet Paper"
"03/28/20 16:03","CA","Huntington Beach","Toilet Paper, Paper Towels, Disinfecting Wipes, Water"
"03/28/20 16:02","AZ","Chandler","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 15:59","CA","Tustin","Paper Towels, Water"
"03/28/20 15:55","CA","Folsom","Water"
"03/28/20 15:53","CA","Rancho Cucamonga","Toilet Paper, Disinfecting Wipes"
"03/28/20 15:53","CA","Cypress","Toilet Paper, Lysol"
"03/28/20 15:52","AZ","Tempe","Toilet Paper, Paper Towels, Disinfecting Wipes, Water"
"03/28/20 15:52","CA","Tracy","Paper Towels, Water, Lysol"
"03/28/20 15:51","NV","Carson City","Toilet Paper"
"03/28/20 15:51","CA","Rancho Cucamonga","Toilet Paper, Disinfecting Wipes"
"03/28/20 15:49","CA","Sacramenton - Cal Expo","Toilet Paper, Paper Towels, Water"
"03/28/20 15:47","CA","Anaheim","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 15:45","CA","San Diego","Toilet Paper"
"03/28/20 15:45","WA","Vancouver","Toilet Paper, Disinfecting Wipes"
"03/28/20 15:37","AZ","Mesa","Toilet Paper"
"03/28/20 15:36","AZ","Tucson - Marketplace","Toilet Paper"
"03/28/20 15:36","CA","Concord","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 15:29","AZ","Scottsdale","Toilet Paper, Lysol"
"03/28/20 15:28","AZ","Gilbert","Toilet Paper, Disinfecting Wipes, Rice, Lysol"
"03/28/20 15:26","CA","Inglewood","Water"
"03/28/20 15:24","ID","Boise","Disinfecting Wipes, Rice"
"03/28/20 15:22","AZ","Tucson","Toilet Paper, Paper Towels"
"03/28/20 15:17","CA","Salinas","Toilet Paper, Paper Towels, Water"
"03/28/20 15:16","CA","Tustin - Marketplace","Paper Towels, Water, Rice"
"03/28/20 15:15","AZ","Mesa","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 15:14","AZ","Phoenix","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 15:14","VA","Sterling","Water"
"03/28/20 15:10","WI","New Berlin","Toilet Paper, Disinfecting Wipes"
"03/28/20 15:09","CA","Larkspur","Toilet Paper, Disinfecting Wipes"
"03/28/20 15:08","CA","Livermore","Toilet Paper"
"03/28/20 15:06","CA","Roseville","Toilet Paper, Paper Towels"
"03/28/20 15:06","AZ","Tucson","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 15:06","CA","Santa Clara","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 15:03","OH","Centerville","Toilet Paper, Disinfecting Wipes"
"03/28/20 15:03","CA","Camarillo","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 15:01","CA","92707","Toilet Paper"
"03/28/20 14:57","CA","San Diego","Toilet Paper, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 14:55","MD","Bethesda","Toilet Paper, Paper Towels"
"03/28/20 14:55","CA","Vallejo","Paper Towels, Water"
"03/28/20 14:54","ID","Meridian","Disinfecting Wipes, Rice"
"03/28/20 14:53","AZ","Scottsdale","Water"
"03/28/20 14:50","AZ","Tempe","Disinfecting Wipes"
"03/28/20 14:49","AZ","Scottsdale","Toilet Paper"
"03/28/20 14:47","CA","Los Angeles","Toilet Paper"
"03/28/20 14:46","CA","San Diego","Toilet Paper"
"03/28/20 14:46","CA","Marina del Rey","Toilet Paper"
"03/28/20 14:44","CA","Carmel Mountain","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 14:43","CA","Pacoima","Paper Towels, Water"
"03/28/20 14:43","CA","San Diego","Toilet Paper"
"03/28/20 14:43","NM","Albuquerque","Lysol"
"03/28/20 14:42","CA","Marina del rey","Toilet Paper"
"03/28/20 14:42","CA","Chino","Toilet Paper"
"03/28/20 14:41","CA","Ontario","Lysol"
"03/28/20 14:41","CA","Norwalk","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 14:40","MD","Hanover","Toilet Paper, Water"
"03/28/20 14:37","CA","Eastvale","Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 14:36","CA","Tustin","Toilet Paper"
"03/28/20 14:32","HI","Waipio","Toilet Paper, Disinfecting Wipes"
"03/28/20 14:27","CA","Tustin","Toilet Paper"
"03/28/20 14:20","CA","Monterey Park","Paper Towels, Disinfecting Wipes, Water"
"03/28/20 14:19","CA","Cypress","Paper Towels, Water, Rice, Lysol"
"03/28/20 14:19","MN","Coon Rapids","Toilet Paper"
"03/28/20 14:18","CA","Torrance","Toilet Paper"
"03/28/20 14:18","CA","Signal Hill","Disinfecting Wipes, Water, Lysol"
"03/28/20 14:13","VA","20109","Toilet Paper, Lysol"
"03/28/20 14:11","CA","San Diego","None Available"
"03/28/20 14:07","CA","Pacoima","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 14:06","CA","Asuza","Toilet Paper"
"03/28/20 14:05","WI","Pleasant Prairie","Paper Towels, Water"
"03/28/20 14:05","CA","Tustin - The District","Paper Towels, Water"
"03/28/20 14:03","WA","Bonney Lake","Toilet Paper, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 14:02","CO","Aurora","Toilet Paper, Paper Towels, Disinfecting Wipes, Rice, Lysol"
"03/28/20 14:02","VA","Alexandria","Paper Towels, Water"
"03/28/20 14:02","CA","Norwalk","None Available"
"03/28/20 14:01","IN","Mishawaka","Toilet Paper"
"03/28/20 14:00","IN","Granger","Toilet Paper"
"03/28/20 14:00","NV","Reno","Toilet Paper, Disinfecting Wipes"
"03/28/20 13:59","CA","Goleta","Toilet Paper"
"03/28/20 13:57","IN","Mishawaka","Toilet Paper"
"03/28/20 13:54","CA","Simi Valley","Water"
"03/28/20 13:50","CA","Montclair","Paper Towels"
"03/28/20 13:50","CA","Chico","Toilet Paper, None Available"
"03/28/20 13:47","VA","Manassas","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 13:45","CA","Danville","Toilet Paper, Paper Towels"
"03/28/20 13:45","CA","Pacoima","Paper Towels, Water, Rice"
"03/28/20 13:44","CA","Folsom","Toilet Paper"
"03/28/20 13:42","NM","Albuquerque","Toilet Paper"
"03/28/20 13:42","CA","Gilroy","Toilet Paper, Paper Towels, Water, Rice"
"03/28/20 13:41","UT","Murray","Disinfecting Wipes, Water, Rice"
"03/28/20 13:41","AZ","Chandler","Lysol"
"03/28/20 13:41","CA","Rancho Cordova","Paper Towels, Water, Rice"
"03/28/20 13:40","CA","Sunnyvale","Toilet Paper, Water, Rice"
"03/28/20 13:40","CA","Inglewood","Toilet Paper"
"03/28/20 13:39","CA","Danville","Water"
"03/28/20 13:39","CA","San diego","Toilet Paper"
"03/28/20 13:39","CA","Ingelwood","Toilet Paper, Paper Towels, Water, Lysol"
"03/28/20 13:38","CA","Montclair","Paper Towels, Water, Rice"
"03/28/20 13:38","AZ","Mesa - Sossoman","Paper Towels, Water"
"03/28/20 13:36","CA","91744","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 13:35","CA","Pacoima","Toilet Paper"
"03/28/20 13:34","CA","Chula Vista","Toilet Paper, Paper Towels, Disinfecting Wipes, Water"
"03/28/20 13:30","CA","Los Angeles","Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 13:29","CA","Glendora","Toilet Paper, Paper Towels, Disinfecting Wipes, Rice"
"03/28/20 13:28","WA","Tukwilla","None Available"
"03/28/20 13:28","CA","Burbank","Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 13:27","CA","Torrace","Toilet Paper"
"03/28/20 13:22","IL","Carol Stream","Toilet Paper"
"03/28/20 13:21","AZ","Mesa - Sossaman","Paper Towels, Water"
"03/28/20 13:20","CA","Montebello","Disinfecting Wipes, Rice, Lysol"
"03/28/20 13:15","CA","Rialto","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 13:14","CA","Burbank","Paper Towels, Water"
"03/28/20 13:13","CA","Woodland","Toilet Paper"
"03/28/20 13:09","AZ","Tucson - Marketplace","Toilet Paper"
"03/28/20 13:07","OR","Hillsboro","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 13:06","VA","Fairfax","Toilet Paper, Disinfecting Wipes"
"03/28/20 13:04","CA","San Jose","Toilet Paper"
"03/28/20 13:01","CA","Burbank","None Available"
"03/28/20 13:00","FL","Naples","Toilet Paper, Paper Towels"
"03/28/20 12:57","CA","Irwindale","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 12:57","NC","Raleigh","Toilet Paper"
"03/28/20 12:55","VA","Fairfax","Paper Towels, Water"
"03/28/20 12:54","CA","Chatswort","None Available"
"03/28/20 12:54","MI","Livonia","Paper Towels"
"03/28/20 12:52","MN","Minneapolis","None Available"
"03/28/20 12:51","MN","Coon Rapids","Toilet Paper"
"03/28/20 12:50","AZ","Marketplace","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 12:48","FL","Fort myers","Toilet Paper"
"03/28/20 12:46","CA","Riverside","Toilet Paper, Paper Towels"
"03/28/20 12:45","AZ","Glendale","Toilet Paper"
"03/28/20 12:44","CA","Riverside","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 12:43","AZ","Phoenix","Toilet Paper, Paper Towels"
"03/28/20 12:43","CA","Corona","Toilet Paper, Paper Towels"
"03/28/20 12:41","CA","Woodland hills","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 12:40","CA","Victorville","Toilet Paper, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 12:38","CA","Hayward","Disinfecting Wipes, Lysol"
"03/28/20 12:38","OH","Toledo - Central Ave","Toilet Paper, Paper Towels"
"03/28/20 12:37","CA","Los Angels","Toilet Paper"
"03/28/20 12:36","OR","Clackamas","Toilet Paper, Disinfecting Wipes"
"03/28/20 12:35","OR","Clackamas","Toilet Paper, Disinfecting Wipes"
"03/28/20 12:35","CA","Sunnyvale","Disinfecting Wipes, Lysol"
"03/28/20 12:34","GA","Marietta","Toilet Paper"
"03/28/20 12:34","OH","Easton","Toilet Paper"
"03/28/20 12:33","NC","Apex","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 12:32","IL","Chicago","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 12:29","CA","Fullerton","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 12:27","ID","Boise","Toilet Paper, Paper Towels, Disinfecting Wipes, Water"
"03/28/20 12:27","CA","Fullerton","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 12:27","CA","Thousand Oaks","Toilet Paper"
"03/28/20 12:25","CA","Fountain Valley","Toilet Paper"
"03/28/20 12:24","CA","Fremont","Toilet Paper"
"03/28/20 12:23","CA","Monterey Park","Paper Towels, Water, Rice"
"03/28/20 12:21","CA","San Francisco","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 12:20","CA","Redwood City","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice"
"03/28/20 12:18","CA","Fountain Valley","Toilet Paper"
"03/28/20 12:17","NJ","Wayne","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Lysol"
"03/28/20 12:16","CO","Barnes Road","Toilet Paper"
"03/28/20 12:16","FL","Lake Park","Toilet Paper, Paper Towels"
"03/28/20 12:15","AZ","Glendale","Toilet Paper"
"03/28/20 12:14","TX","Lewisville","Toilet Paper"
"03/28/20 12:11","CA","Goleta","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 12:11","CA","Vacaville","Toilet Paper"
"03/28/20 12:08","CA","Folsom","Toilet Paper"
"03/28/20 12:06","WA","Spokane","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 12:04","CA","Torrance","Toilet Paper, Disinfecting Wipes"
"03/28/20 12:03","OH","Toledo","Toilet Paper"
"03/28/20 11:58","CA","Alhambra","Paper Towels"
"03/28/20 11:54","CA","Rancho Cucamonga","Toilet Paper"
"03/28/20 11:53","MT","Missoula","Paper Towels, Disinfecting Wipes, Water, Rice"
"03/28/20 11:52","MA","Danvers","None Available"
"03/28/20 11:47","NJ","Lawrenceville","Toilet Paper, Paper Towels"
"03/28/20 11:47","CA","Sacramento","Toilet Paper, Disinfecting Wipes"
"03/28/20 11:45","CA","Fullerton","Paper Towels, Water, Rice"
"03/28/20 11:44","CA","San Dimas","Toilet Paper, Paper Towels, Disinfecting Wipes, Rice, Lysol"
"03/28/20 11:43","CA","28151","Disinfecting Wipes"
"03/28/20 11:43","CA","Los Angeles","Toilet Paper, Paper Towels"
"03/28/20 11:39","IL","Lake in the Hills","Paper Towels, Water, Lysol"
"03/28/20 11:39","GA","Atlanta","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 11:38","VA","Fredericksburg","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 11:37","CA","Westridge","Toilet Paper"
"03/28/20 11:36","AZ","Mesa","Toilet Paper"
"03/28/20 11:34","MD","Beltsville","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 11:32","CA","Van Nuys","Paper Towels, Water"
"03/28/20 11:31","CA","Fullerton","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 11:29","AZ","Gilbert","Toilet Paper"
"03/28/20 11:27","AZ","Scottsdale","Toilet Paper"
"03/28/20 11:27","TX","Dallas","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 11:26","WI","Grafton","Toilet Paper"
"03/28/20 11:24","CA","Temecula","Toilet Paper, Disinfecting Wipes, Rice"
"03/28/20 11:24","TX","Frisco","Disinfecting Wipes"
"03/28/20 11:23","WI","Grafton","Toilet Paper, Disinfecting Wipes"
"03/28/20 11:21","CA","Pico Rivera","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Lysol"
"03/28/20 11:20","CA","Westlake Village","Toilet Paper, Paper Towels"
"03/28/20 11:19","VA","Richmond","Water, Rice, Lysol"
"03/28/20 11:14","CA","Hayward","Toilet Paper, Water"
"03/28/20 11:14","CA","Monterey Park","Paper Towels, Water"
"03/28/20 11:14","KY","Florence","Paper Towels, Water"
"03/28/20 11:10","NC","Apex","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Lysol"
"03/28/20 11:08","VA","Springfield","Toilet Paper, Disinfecting Wipes"
"03/28/20 11:08","CA","Long Beach","Toilet Paper, Disinfecting Wipes"
"03/28/20 11:07","CA","Chinohills","Toilet Paper"
"03/28/20 11:06","NM","Albuquerque- Coors Bypass","Paper Towels"
"03/28/20 11:03","CA","Vacaville","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 11:03","VA","Chantilly","Rice, Lysol"
"03/28/20 11:01","VA","Arlington","Toilet Paper"
"03/28/20 11:01","AZ","Glendale","Toilet Paper, Paper Towels"
"03/28/20 11:00","AZ","Gilbert","Toilet Paper, Disinfecting Wipes, Rice, Lysol"
"03/28/20 10:59","TX","Fort Worth","Toilet Paper"
"03/28/20 10:59","CA","Concord","Toilet Paper, Paper Towels, Disinfecting Wipes, Rice"
"03/28/20 10:57","VA","Leesburg","Toilet Paper, Disinfecting Wipes"
"03/28/20 10:57","CA","Westlake","Toilet Paper, Paper Towels, Water"
"03/28/20 10:57","IL","Naperville","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 10:55","CA","Los Angeles","None Available"
"03/28/20 10:55","ID","Nampa","Toilet Paper"
"03/28/20 10:55","CA","Torrance","Toilet Paper"
"03/28/20 10:51","UT","Ogden","Toilet Paper"
"03/28/20 10:50","CA","Folsom","Toilet Paper"
"03/28/20 10:50","NE","Lincoln","Toilet Paper"
"03/28/20 10:49","CA","Pacoima","Paper Towels, Water"
"03/28/20 10:49","AZ","Cave Creek","Paper Towels"
"03/28/20 10:48","CO","Lakewood","Toilet Paper, Paper Towels, Disinfecting Wipes"
